valid_time,tp,e,es,avg_rorwe,avg_esrwe,u10,v10,t2m,msl,sp,tcc,hour_sin,hour_cos,doy_sin,doy_cos
2023-01-01 00:00:00,0.0,-4.17e-06,-1.12e-09,6.79e-06,8.73e-11,0.9200392,2.7935696,279.88953,102140.89,95474.77,0.8207877,0.0,1.0,0.017213356155834685,0.9998518392091162
2023-01-01 01:00:00,0.0,-4.29e-06,1.86e-09,6.84e-06,8.15e-10,0.78375167,2.8913016,279.52502,102167.9,95502.14,0.86689645,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162
2023-01-01 02:00:00,0.0,-4.82e-06,3.2e-10,6.79e-06,1.75e-10,0.6064606,2.904255,279.668,102164.375,95501.9,0.77199024,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162
2023-01-01 03:00:00,0.0,-4.75e-06,-8.73e-10,6.79e-06,6.84e-10,0.65459615,2.7279468,279.64322,102152.51,95491.914,0.7047503,0.7071067811865475,0.7071067811865476,0.017213356155834685,0.9998518392091162
2023-01-01 04:00:00,4.57e-07,-4.12e-06,-9.9e-10,6.79e-06,-8.15e-10,0.9717636,2.4849834,279.04846,102160.09,95493.59,0.54267937,0.8660254037844386,0.5000000000000001,0.017213356155834685,0.9998518392091162
2023-01-01 05:00:00,1.49e-05,-3.86e-06,-2.85e-09,6.89e-06,-1.28e-09,1.2452941,2.271988,278.81033,102234.41,95552.08,0.31324703,0.9659258262890683,0.25881904510252074,0.017213356155834685,0.9998518392091162
2023-01-01 06:00:00,5.03e-06,-4.11e-06,-1.16e-09,6.85e-06,-2.47e-10,0.7505048,2.4227505,278.1653,102294.875,95599.266,0.48706824,1.0,6.123233995736766e-17,0.017213356155834685,0.9998518392091162
2023-01-01 07:00:00,0.0,-3.75e-06,9.02e-10,6.86e-06,-3.2e-10,0.47114736,2.612379,278.49344,102333.24,95635.79,0.34319776,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162
2023-01-01 08:00:00,0.0,-7.81e-06,-9.02e-10,6.89e-06,-8.29e-10,0.4526899,2.5867014,278.42297,102349.88,95655.44,0.07855458,0.8660254037844387,-0.4999999999999998,0.017213356155834685,0.9998518392091162
2023-01-01 09:00:00,0.0,-2.31e-05,-4.22e-10,6.89e-06,1.02e-10,0.9033434,2.1722298,280.66425,102359.43,95665.16,0.03748799,0.7071067811865476,-0.7071067811865475,0.017213356155834685,0.9998518392091162
2023-01-01 10:00:00,0.0,-4.51e-05,-3.2e-10,6.89e-06,8.59e-10,0.7830965,2.1347132,283.36542,102422.086,95718.11,0.28740603,0.49999999999999994,-0.8660254037844387,0.017213356155834685,0.9998518392091162
2023-01-01 11:00:00,0.0,-6.37e-05,-3.38e-09,6.86e-06,-6.55e-10,0.017319273,1.878901,285.50983,102392.625,95694.01,0.546079,0.258819045102521,-0.9659258262890682,0.017213356155834685,0.9998518392091162
2023-01-01 12:00:00,0.0,-7.66e-05,-7.57e-10,6.89e-06,1.09e-09,-0.09249306,1.4662914,287.0328,102340.38,95646.45,0.3839175,1.2246467991473532e-16,-1.0,0.017213356155834685,0.9998518392091162
2023-01-01 13:00:00,0.0,-6.45e-05,-5.09e-10,6.86e-06,2.62e-10,-0.44638646,1.4119387,287.95612,102301.8,95613.75,0.22513878,-0.2588190451025208,-0.9659258262890683,0.017213356155834685,0.9998518392091162
2023-01-01 14:00:00,0.0,-3.67e-05,8.59e-10,6.86e-06,-1.38e-09,-0.8446476,1.341589,287.64966,102261.33,95581.74,0.33422768,-0.4999999999999997,-0.8660254037844388,0.017213356155834685,0.9998518392091162
